iterations,cost
1158,0.031214
1159,0.031187
1160,0.031161
1161,0.031135
1162,0.031109
1163,0.031083
1164,0.031057
1165,0.031031
1166,0.031005
1167,0.030979
1168,0.030953
1169,0.030927
1170,0.030901
1171,0.030875
1172,0.030850
1173,0.030824
1174,0.030798
1175,0.030773
1176,0.030747
1177,0.030722
1178,0.030696
1179,0.030671
1180,0.030645
1181,0.030620
1182,0.030594
1183,0.030569
1184,0.030544
1185,0.030518
1186,0.030493
1187,0.030468
1188,0.030443
1189,0.030418
1190,0.030393
1191,0.030368
1192,0.030342
1193,0.030317
1194,0.030293
1195,0.030268
1196,0.030243
1197,0.030218
1198,0.030193
1199,0.030168
1200,0.030144
1201,0.030119
1202,0.030094
1203,0.030070
1204,0.030045
1205,0.030020
1206,0.029996
1207,0.029971
1208,0.029947
1209,0.029922
1210,0.029898
1211,0.029874
1212,0.029849
1213,0.029825
1214,0.029801
1215,0.029777
1216,0.029752
1217,0.029728
1218,0.029704
1219,0.029680
1220,0.029656
1221,0.029632
1222,0.029608
1223,0.029584
1224,0.029560
1225,0.029536
1226,0.029512
1227,0.029489
1228,0.029465
1229,0.029441
1230,0.029417
1231,0.029394
1232,0.029370
1233,0.029346
1234,0.029323
1235,0.029299
1236,0.029276
1237,0.029252
1238,0.029229
1239,0.029205
1240,0.029182
1241,0.029158
1242,0.029135
1243,0.029112
1244,0.029089
1245,0.029065
1246,0.029042
1247,0.029019
1248,0.028996
1249,0.028973
1250,0.028950
1251,0.028927
1252,0.028904
1253,0.028881
1254,0.028858
1255,0.028835
1256,0.028812
1257,0.028789
1258,0.028766
1259,0.028743
1260,0.028721
1261,0.028698
1262,0.028675
1263,0.028653
1264,0.028630
1265,0.028607
1266,0.028585
1267,0.028562
1268,0.028540
1269,0.028517
1270,0.028495
1271,0.028472
1272,0.028450
1273,0.028428
1274,0.028405
1275,0.028383
1276,0.028361
1277,0.028338
1278,0.028316
1279,0.028294
1280,0.028272
1281,0.028250
1282,0.028228
1283,0.028206
1284,0.028184
1285,0.028162
1286,0.028140
1287,0.028118
1288,0.028096
1289,0.028074
1290,0.028052
1291,0.028030
1292,0.028008
1293,0.027987
1294,0.027965
1295,0.027943
1296,0.027921
1297,0.027900
1298,0.027878
1299,0.027857
1300,0.027835
1301,0.027813
1302,0.027792
1303,0.027771
1304,0.027749
1305,0.027728
1306,0.027706
1307,0.027685
1308,0.027664
1309,0.027642
1310,0.027621
1311,0.027600
1312,0.027579
1313,0.027557
1314,0.027536
1315,0.027515
1316,0.027494
1317,0.027473
1318,0.027452
1319,0.027431
1320,0.027410
1321,0.027389
1322,0.027368
1323,0.027347
1324,0.027326
1325,0.027305
1326,0.027284
1327,0.027264
1328,0.027243
1329,0.027222
1330,0.027201
1331,0.027181
1332,0.027160
1333,0.027139
1334,0.027119
1335,0.027098
1336,0.027078
1337,0.027057
1338,0.027037
1339,0.027016
1340,0.026996
1341,0.026975
1342,0.026955
1343,0.026934
1344,0.026914
1345,0.026894
1346,0.026874
1347,0.026853
1348,0.026833
1349,0.026813
1350,0.026793
1351,0.026772
1352,0.026752
1353,0.026732
1354,0.026712
1355,0.026692
1356,0.026672
1357,0.026652
1358,0.026632
1359,0.026612
1360,0.026592
1361,0.026572
1362,0.026553
1363,0.026533
1364,0.026513
1365,0.026493
1366,0.026473
1367,0.026454
1368,0.026434
1369,0.026414
1370,0.026395
1371,0.026375
1372,0.026355
1373,0.026336
1374,0.026316
1375,0.026297
1376,0.026277
1377,0.026258
1378,0.026238
1379,0.026219
1380,0.026199
1381,0.026180
1382,0.026161
1383,0.026141
1384,0.026122
1385,0.026103
1386,0.026083
1387,0.026064
1388,0.026045
1389,0.026026
1390,0.026007
1391,0.025987
1392,0.025968
1393,0.025949
1394,0.025930
1395,0.025911
1396,0.025892
1397,0.025873
1398,0.025854
1399,0.025835
1400,0.025816
1401,0.025797
1402,0.025779
1403,0.025760
1404,0.025741
1405,0.025722
1406,0.025703
1407,0.025685
1408,0.025666
1409,0.025647
1410,0.025628
1411,0.025610
1412,0.025591
1413,0.025573
1414,0.025554
1415,0.025535
1416,0.025517
1417,0.025498
1418,0.025480
1419,0.025461
1420,0.025443
1421,0.025425
1422,0.025406
1423,0.025388
1424,0.025369
1425,0.025351
1426,0.025333
1427,0.025314
1428,0.025296
1429,0.025278
1430,0.025260
1431,0.025242
1432,0.025223
1433,0.025205
1434,0.025187
1435,0.025169
1436,0.025151
1437,0.025133
1438,0.025115
1439,0.025097
1440,0.025079
1441,0.025061
1442,0.025043
1443,0.025025
1444,0.025007
1445,0.024989
1446,0.024971
1447,0.024954
1448,0.024936
1449,0.024918
1450,0.024900
1451,0.024883
1452,0.024865
1453,0.024847
1454,0.024829
1455,0.024812
1456,0.024794
1457,0.024777
1458,0.024759
1459,0.024741
1460,0.024724
1461,0.024706
1462,0.024689
1463,0.024671
1464,0.024654
1465,0.024637
1466,0.024619
1467,0.024602
1468,0.024584
1469,0.024567
1470,0.024550
1471,0.024532
1472,0.024515
1473,0.024498
1474,0.024481
1475,0.024463
1476,0.024446
1477,0.024429
1478,0.024412
1479,0.024395
1480,0.024378
1481,0.024361
1482,0.024343
1483,0.024326
1484,0.024309
1485,0.024292
1486,0.024275
1487,0.024258
1488,0.024241
1489,0.024225
1490,0.024208
1491,0.024191
1492,0.024174
1493,0.024157
1494,0.024140
1495,0.024123
1496,0.024107
1497,0.024090
1498,0.024073
1499,0.024056
1500,0.024040
1501,0.024023
1502,0.024006
1503,0.023990
1504,0.023973
1505,0.023956
1506,0.023940
1507,0.023923
1508,0.023907
1509,0.023890
1510,0.023874
1511,0.023857
1512,0.023841
1513,0.023824
1514,0.023808
1515,0.023792
1516,0.023775
1517,0.023759
1518,0.023743
1519,0.023726
1520,0.023710
1521,0.023694
1522,0.023677
1523,0.023661
1524,0.023645
1525,0.023629
1526,0.023613
1527,0.023596
1528,0.023580
1529,0.023564
1530,0.023548
1531,0.023532
1532,0.023516
1533,0.023500
1534,0.023484
1535,0.023468
1536,0.023452
1537,0.023436
1538,0.023420
1539,0.023404
1540,0.023388
1541,0.023372
1542,0.023356
1543,0.023340
1544,0.023325
1545,0.023309
1546,0.023293
1547,0.023277
1548,0.023261
1549,0.023246
1550,0.023230
1551,0.023214
1552,0.023199
1553,0.023183
1554,0.023167
1555,0.023152
1556,0.023136
1557,0.023120
1558,0.023105
1559,0.023089
1560,0.023074
1561,0.023058
1562,0.023043
1563,0.023027
1564,0.023012
1565,0.022996
1566,0.022981
1567,0.022965
1568,0.022950
1569,0.022935
1570,0.022919
1571,0.022904
1572,0.022889
1573,0.022873
1574,0.022858
1575,0.022843
1576,0.022828
1577,0.022812
1578,0.022797
1579,0.022782
1580,0.022767
1581,0.022752
1582,0.022736
1583,0.022721
1584,0.022706
1585,0.022691
1586,0.022676
1587,0.022661
1588,0.022646
1589,0.022631
1590,0.022616
1591,0.022601
1592,0.022586
1593,0.022571
1594,0.022556
1595,0.022541
1596,0.022526
1597,0.022511
1598,0.022497
1599,0.022482
1600,0.022467
1601,0.022452
1602,0.022437
1603,0.022423
1604,0.022408
1605,0.022393
1606,0.022378
1607,0.022364
1608,0.022349
1609,0.022334
1610,0.022320
1611,0.022305
1612,0.022290
1613,0.022276
1614,0.022261
1615,0.022247
1616,0.022232
1617,0.022217
1618,0.022203
1619,0.022188
1620,0.022174
1621,0.022160
1622,0.022145
1623,0.022131
1624,0.022116
1625,0.022102
1626,0.022087
1627,0.022073
1628,0.022059
1629,0.022044
1630,0.022030
1631,0.022016
1632,0.022001
1633,0.021987
1634,0.021973
1635,0.021959
1636,0.021944
1637,0.021930
1638,0.021916
1639,0.021902
1640,0.021888
1641,0.021874
1642,0.021859
1643,0.021845
1644,0.021831
1645,0.021817
1646,0.021803
1647,0.021789
1648,0.021775
1649,0.021761
1650,0.021747
1651,0.021733
1652,0.021719
1653,0.021705
1654,0.021691
1655,0.021677
1656,0.021663
1657,0.021649
1658,0.021636
1659,0.021622
1660,0.021608
1661,0.021594
1662,0.021580
1663,0.021567
1664,0.021553
1665,0.021539
1666,0.021525
1667,0.021512
1668,0.021498
1669,0.021484
1670,0.021470
1671,0.021457
1672,0.021443
1673,0.021429
1674,0.021416
1675,0.021402
1676,0.021389
1677,0.021375
1678,0.021361
1679,0.021348
1680,0.021334
1681,0.021321
1682,0.021307
1683,0.021294
1684,0.021280
1685,0.021267
1686,0.021254
1687,0.021240
1688,0.021227
1689,0.021213
1690,0.021200
1691,0.021187
1692,0.021173
1693,0.021160
1694,0.021147
1695,0.021133
1696,0.021120
1697,0.021107
1698,0.021093
1699,0.021080
1700,0.021067
1701,0.021054
1702,0.021041
1703,0.021027
1704,0.021014
1705,0.021001
1706,0.020988
1707,0.020975
1708,0.020962
1709,0.020949
1710,0.020935
1711,0.020922
1712,0.020909
1713,0.020896
1714,0.020883
1715,0.020870
1716,0.020857
1717,0.020844
1718,0.020831
1719,0.020818
1720,0.020805
1721,0.020792
1722,0.020780
1723,0.020767
1724,0.020754
1725,0.020741
1726,0.020728
1727,0.020715
1728,0.020702
1729,0.020690
1730,0.020677
1731,0.020664
1732,0.020651
1733,0.020638
1734,0.020626
1735,0.020613
1736,0.020600
1737,0.020588
1738,0.020575
1739,0.020562
1740,0.020550
1741,0.020537
1742,0.020524
1743,0.020512
1744,0.020499
1745,0.020486
1746,0.020474
1747,0.020461
1748,0.020449
1749,0.020436
1750,0.020424
1751,0.020411
1752,0.020399
1753,0.020386
1754,0.020374
1755,0.020361
1756,0.020349
1757,0.020336
1758,0.020324
1759,0.020312
1760,0.020299
1761,0.020287
1762,0.020274
1763,0.020262
1764,0.020250
1765,0.020237
1766,0.020225
1767,0.020213
1768,0.020201
1769,0.020188
1770,0.020176
1771,0.020164
1772,0.020152
1773,0.020139
1774,0.020127
1775,0.020115
1776,0.020103
1777,0.020091
1778,0.020079
1779,0.020066
1780,0.020054
1781,0.020042
1782,0.020030
1783,0.020018
1784,0.020006
1785,0.019994
1786,0.019982
1787,0.019970
1788,0.019958
1789,0.019946
1790,0.019934
1791,0.019922
1792,0.019910
1793,0.019898
1794,0.019886
1795,0.019874
1796,0.019862
1797,0.019850
1798,0.019838
1799,0.019826
1800,0.019815
1801,0.019803
1802,0.019791
1803,0.019779
1804,0.019767
1805,0.019755
1806,0.019744
1807,0.019732
1808,0.019720
1809,0.019708
1810,0.019697
1811,0.019685
1812,0.019673
1813,0.019661
1814,0.019650
1815,0.019638
1816,0.019626
1817,0.019615
1818,0.019603
1819,0.019591
1820,0.019580
1821,0.019568
1822,0.019557
1823,0.019545
1824,0.019533
1825,0.019522
1826,0.019510
1827,0.019499
1828,0.019487
1829,0.019476
1830,0.019464
1831,0.019453
1832,0.019441
1833,0.019430
1834,0.019418
1835,0.019407
1836,0.019396
1837,0.019384
1838,0.019373
1839,0.019361
1840,0.019350
1841,0.019339
1842,0.019327
1843,0.019316
1844,0.019305
1845,0.019293
1846,0.019282
1847,0.019271
1848,0.019259
1849,0.019248
1850,0.019237
1851,0.019226
1852,0.019214
1853,0.019203
1854,0.019192
1855,0.019181
1856,0.019170
1857,0.019158
1858,0.019147
1859,0.019136
1860,0.019125
1861,0.019114
1862,0.019103
1863,0.019092
1864,0.019081
1865,0.019070
1866,0.019058
1867,0.019047
1868,0.019036
1869,0.019025
1870,0.019014
